name,age,city,salary,age_category
Thomas,15,Sydney,120000,young
Thomas,28,Rio de Janeiro,70000,adult
Jennifer,15,Toronto,105000,young
Mary,43,Paris,90000,adult
Barbara,29,Moscow,55000,adult
Sarah,48,Mumbai,145000,adult
James,67,Mumbai,55000,senior
James,85,Mumbai,185000,senior
Linda,29,Tokyo,80000,adult
Richard,43,Sydney,180000,adult
David,40,Tokyo,165000,adult
James,40,Paris,135000,adult
Jessica,75,Tokyo,110000,senior
Sarah,87,Mumbai,80000,senior
James,15,Toronto,115000,young
Susan,77,Toronto,200000,senior
David,78,Rio de Janeiro,160000,senior
Robert,14,Mumbai,95000,young
Mary,80,Toronto,170000,senior
Susan,4,Rio de Janeiro,110000,young
Karen,54,Cairo,180000,adult
Susan,64,Moscow,140000,adult
Jessica,27,Mumbai,55000,adult
Patricia,23,Cape Town,135000,adult
Michael,84,Tokyo,135000,senior
Christopher,3,Toronto,20000,young
Joseph,59,Rio de Janeiro,200000,adult
Linda,30,Sydney,45000,adult
Christopher,27,New York,190000,adult
Jessica,15,Cape Town,145000,young
James,73,Cape Town,45000,senior
Thomas,37,Sydney,140000,adult
Susan,29,Sydney,190000,adult
William,96,Mumbai,115000,senior
Thomas,99,Rio de Janeiro,125000,senior
Linda,9,Cairo,155000,young
Robert,48,Rio de Janeiro,70000,adult
Christopher,21,Sydney,105000,adult
Jessica,91,Mumbai,125000,senior
Linda,31,Tokyo,85000,adult
Barbara,67,Cairo,20000,senior
Richard,54,Rio de Janeiro,105000,adult
James,85,Rio de Janeiro,120000,senior
John,69,Paris,180000,senior
Joseph,37,New York,30000,adult
Richard,48,Cape Town,65000,adult
Mary,2,New York,120000,young
Barbara,97,Tokyo,110000,senior
Linda,58,Paris,125000,adult
John,85,Cairo,150000,senior
Jennifer,82,Cape Town,175000,senior
Thomas,7,Paris,55000,young
John,55,Mumbai,120000,adult
Linda,96,Mumbai,135000,senior
Elizabeth,6,Moscow,120000,young
Susan,77,Tokyo,180000,senior
David,18,Cairo,20000,young
David,10,Toronto,120000,young
Susan,85,Sydney,30000,senior
Jennifer,10,Cairo,165000,young
John,43,Tokyo,70000,adult
Susan,41,Rio de Janeiro,80000,adult
Robert,17,Sydney,130000,young
Linda,91,Cape Town,100000,senior
David,95,Moscow,30000,senior
Christopher,63,Cape Town,100000,adult
William,75,Moscow,180000,senior
Thomas,88,Cairo,30000,senior
Karen,45,Toronto,45000,adult
Mary,5,Cairo,65000,young
John,62,Sydney,130000,adult
Thomas,77,Cairo,175000,senior
William,84,New York,60000,senior
William,83,Toronto,195000,senior
James,9,Cairo,180000,young
Sarah,46,Mumbai,150000,adult
Jessica,45,New York,90000,adult
Michael,87,Paris,25000,senior
Linda,65,Cape Town,165000,adult
James,90,Tokyo,195000,senior
William,80,Cairo,135000,senior
David,23,New York,135000,adult
Elizabeth,89,Moscow,195000,senior
Linda,92,Mumbai,80000,senior
Richard,63,Rio de Janeiro,100000,adult
Jennifer,98,Mumbai,150000,senior
Mary,54,Paris,160000,adult
Mary,75,Rio de Janeiro,70000,senior
David,9,Mumbai,160000,young
William,62,Toronto,175000,adult
Sarah,44,Paris,95000,adult
John,8,Cairo,150000,young
James,73,Cape Town,50000,senior
Sarah,96,Cairo,110000,senior
Patricia,56,Sydney,165000,adult
Karen,13,Cairo,175000,young
John,24,Toronto,160000,adult
Sarah,17,Moscow,85000,young
Barbara,10,Mumbai,85000,young
Jennifer,3,New York,115000,young
David,14,Cairo,80000,young
James,8,Toronto,65000,young
Sarah,34,Cairo,30000,adult
Joseph,56,Tokyo,35000,adult
Susan,32,Moscow,190000,adult
Susan,55,Cape Town,155000,adult
Robert,98,Sydney,95000,senior
Robert,52,New York,120000,adult
Jennifer,43,Sydney,120000,adult
David,93,Tokyo,30000,senior
John,93,Toronto,200000,senior
Mary,91,Toronto,25000,senior
Mary,56,Moscow,75000,adult
Sarah,28,Paris,180000,adult
Susan,96,New York,165000,senior
James,80,Cairo,120000,senior
William,21,Sydney,130000,adult
Elizabeth,87,Sydney,150000,senior
Richard,73,Moscow,190000,senior
Richard,29,Toronto,85000,adult
Elizabeth,80,Toronto,90000,senior
Jessica,67,Paris,70000,senior
Elizabeth,33,Mumbai,160000,adult
Mary,88,Sydney,120000,senior
Patricia,57,Cairo,85000,adult
Robert,11,New York,150000,young
Patricia,80,Toronto,35000,senior
Mary,26,Cape Town,40000,adult
Susan,58,Rio de Janeiro,100000,adult
Linda,6,Mumbai,45000,young
Linda,37,Mumbai,145000,adult
William,88,Sydney,160000,senior
Jennifer,79,Tokyo,150000,senior
Thomas,6,Toronto,30000,young
Karen,59,Cairo,160000,adult
Joseph,77,Cape Town,195000,senior
Jessica,87,Mumbai,150000,senior
Susan,80,Sydney,185000,senior
Sarah,14,Mumbai,160000,young
Sarah,63,Toronto,195000,adult
Joseph,37,Moscow,115000,adult
Thomas,25,Sydney,130000,adult
Susan,19,Paris,145000,adult
Mary,14,Tokyo,190000,young
Linda,41,Rio de Janeiro,145000,adult
William,47,Cape Town,115000,adult
Karen,34,New York,145000,adult
John,20,Tokyo,60000,adult
Jessica,67,Mumbai,150000,senior
Patricia,13,Toronto,60000,young
Christopher,42,Moscow,145000,adult
Jessica,51,Tokyo,150000,adult
Christopher,83,Cape Town,60000,senior
David,77,New York,65000,senior
Joseph,71,Cape Town,155000,senior
Christopher,35,Cairo,145000,adult
Joseph,46,Mumbai,175000,adult
Linda,87,Mumbai,30000,senior
David,81,Toronto,120000,senior
Sarah,95,Mumbai,75000,senior
William,56,New York,115000,adult
Barbara,9,Tokyo,45000,young
Joseph,29,Tokyo,180000,adult
Christopher,12,Cape Town,85000,young
Robert,2,Sydney,180000,young
Susan,52,Tokyo,80000,adult
Karen,47,Cape Town,195000,adult
Richard,38,Tokyo,185000,adult
Jessica,65,Paris,55000,adult
John,25,Tokyo,100000,adult
Linda,96,Rio de Janeiro,90000,senior
Richard,13,New York,200000,young
William,35,Rio de Janeiro,55000,adult
Robert,85,Moscow,140000,senior
Robert,77,Cairo,160000,senior
Sarah,47,Paris,60000,adult
John,43,Sydney,55000,adult
Christopher,51,Rio de Janeiro,145000,adult
Robert,56,Cairo,200000,adult
Patricia,73,Sydney,50000,senior
Christopher,76,Rio de Janeiro,155000,senior
John,48,Toronto,80000,adult
Richard,19,Paris,175000,adult
Jennifer,40,Rio de Janeiro,25000,adult
Elizabeth,61,Rio de Janeiro,175000,adult
Jessica,84,Mumbai,195000,senior
Sarah,66,Sydney,145000,senior
Sarah,88,Moscow,155000,senior
Patricia,43,New York,140000,adult
William,21,Paris,200000,adult
Barbara,76,Cape Town,40000,senior
Christopher,62,Moscow,200000,adult
Thomas,26,Cairo,80000,adult
Mary,70,Cape Town,195000,senior
Richard,13,Sydney,180000,young
Mary,31,Cape Town,50000,adult
Michael,35,Cape Town,170000,adult
Thomas,16,Mumbai,90000,young
Elizabeth,46,Tokyo,140000,adult
Susan,31,Toronto,50000,adult
Elizabeth,95,Cape Town,155000,senior
Robert,1,Moscow,200000,young
Thomas,12,Rio de Janeiro,160000,young
Jessica,35,Toronto,140000,adult
Richard,82,Mumbai,35000,senior
Robert,75,Mumbai,20000,senior
Elizabeth,20,Paris,65000,adult
Robert,15,Tokyo,170000,young
Richard,54,Moscow,40000,adult
Barbara,97,Sydney,130000,senior
Joseph,79,Tokyo,80000,senior
Patricia,71,Paris,175000,senior
James,81,Rio de Janeiro,50000,senior
Jessica,46,Toronto,125000,adult
Richard,55,Cape Town,90000,adult
Michael,6,Cape Town,100000,young
Christopher,58,Cape Town,195000,adult
Barbara,27,Sydney,65000,adult
Richard,66,Toronto,55000,senior
Thomas,42,Toronto,100000,adult
Mary,27,Moscow,105000,adult
Jessica,75,Rio de Janeiro,70000,senior
Michael,87,Rio de Janeiro,120000,senior
Barbara,63,Sydney,85000,adult
Michael,59,Moscow,110000,adult
Elizabeth,36,Sydney,80000,adult
Elizabeth,28,New York,170000,adult
James,13,Cape Town,100000,young
David,3,New York,105000,young
John,88,Sydney,155000,senior
Susan,97,Sydney,160000,senior
Robert,67,Moscow,200000,senior
William,4,Cairo,85000,young
Elizabeth,68,Moscow,50000,senior
Susan,68,Tokyo,35000,senior
Patricia,22,Tokyo,125000,adult
Joseph,51,Mumbai,170000,adult
Patricia,76,Cairo,125000,senior
Linda,1,Toronto,55000,young
Michael,12,Paris,195000,young
Thomas,11,Mumbai,25000,young
Joseph,43,Cairo,30000,adult
Sarah,40,Paris,170000,adult
William,52,New York,150000,adult
Patricia,40,Cairo,50000,adult
Michael,84,Moscow,60000,senior
William,89,Moscow,155000,senior
Susan,33,New York,150000,adult
Elizabeth,74,New York,40000,senior
Patricia,8,Cape Town,30000,young
Joseph,58,Sydney,185000,adult
Joseph,14,Cape Town,170000,young
Jennifer,90,Paris,95000,senior
William,71,Cairo,125000,senior
Jessica,83,Cape Town,145000,senior
Robert,20,Rio de Janeiro,200000,adult
Jennifer,1,Rio de Janeiro,30000,young
Elizabeth,65,Sydney,90000,adult
Jennifer,7,Mumbai,195000,young
Elizabeth,5,New York,55000,young
Jessica,96,Sydney,80000,senior
Mary,10,Rio de Janeiro,90000,young
William,69,Mumbai,95000,senior
Michael,18,Tokyo,120000,young
Barbara,15,New York,85000,young
Jessica,97,Toronto,25000,senior
James,45,Cairo,190000,adult
Mary,45,Rio de Janeiro,170000,adult
Robert,76,Cape Town,155000,senior
John,28,Rio de Janeiro,125000,adult
Linda,8,Rio de Janeiro,175000,young
Patricia,55,Toronto,175000,adult
Richard,24,Paris,110000,adult
Richard,76,Rio de Janeiro,90000,senior
Jennifer,91,Cairo,40000,senior
Mary,61,Cape Town,95000,adult
Elizabeth,83,Paris,80000,senior
Linda,26,Toronto,190000,adult
David,93,Paris,30000,senior
Richard,51,Cairo,105000,adult
Robert,97,Cape Town,60000,senior
Robert,26,New York,95000,adult
Susan,33,Moscow,150000,adult
James,39,Sydney,90000,adult
Thomas,68,New York,185000,senior
Jessica,94,Moscow,185000,senior
Richard,32,New York,135000,adult
James,46,Paris,145000,adult
Patricia,35,Moscow,65000,adult
Christopher,69,Cairo,115000,senior
Jennifer,25,Moscow,160000,adult
Mary,2,Paris,190000,young
David,30,Rio de Janeiro,95000,adult
Joseph,73,Toronto,195000,senior
Patricia,77,New York,20000,senior
William,82,Moscow,70000,senior
James,48,New York,50000,adult
Karen,50,Sydney,80000,adult
Michael,16,Rio de Janeiro,135000,young
Thomas,29,Tokyo,195000,adult
Jennifer,65,Moscow,180000,adult
Barbara,12,Sydney,65000,young
William,94,Toronto,55000,senior
Susan,58,Paris,145000,adult
Karen,18,Toronto,195000,young
John,57,Sydney,200000,adult
Christopher,97,Cape Town,145000,senior
Karen,30,Rio de Janeiro,150000,adult
Jennifer,48,Tokyo,160000,adult
Susan,23,New York,115000,adult
Sarah,38,Paris,130000,adult
Jennifer,68,Moscow,170000,senior
Michael,38,Mumbai,40000,adult
Mary,18,Moscow,40000,young
Jennifer,82,Tokyo,75000,senior
James,13,Mumbai,120000,young
Linda,67,Paris,115000,senior
Michael,3,Moscow,75000,young
Elizabeth,37,Sydney,35000,adult
William,80,Rio de Janeiro,145000,senior
Patricia,30,Cape Town,20000,adult
Sarah,94,Moscow,20000,senior
James,65,Paris,45000,adult
Robert,14,Toronto,115000,young
Richard,30,Cape Town,165000,adult
Thomas,9,Tokyo,35000,young
Mary,31,Sydney,195000,adult
Sarah,70,Rio de Janeiro,185000,senior
Michael,2,New York,115000,young
William,36,Sydney,40000,adult
Karen,15,Toronto,55000,young
Susan,39,Tokyo,165000,adult
Thomas,80,Cairo,170000,senior
Patricia,94,Mumbai,95000,senior
William,97,New York,165000,senior
Jessica,54,Moscow,110000,adult
John,27,Paris,185000,adult
Robert,64,Mumbai,180000,adult
Linda,94,Cairo,25000,senior
Karen,15,Sydney,65000,young
Michael,68,Rio de Janeiro,90000,senior
Karen,19,Toronto,185000,adult
Elizabeth,79,Mumbai,200000,senior
Patricia,41,Mumbai,50000,adult
Thomas,10,Rio de Janeiro,20000,young
Robert,99,Mumbai,185000,senior
Christopher,88,Cape Town,140000,senior
Christopher,55,Toronto,190000,adult
Mary,97,New York,25000,senior
David,3,Rio de Janeiro,135000,young
Jennifer,44,Tokyo,25000,adult
Christopher,25,New York,75000,adult
Barbara,7,Cape Town,115000,young
Jessica,9,Mumbai,130000,young
Michael,58,Cairo,180000,adult
Michael,4,Cape Town,130000,young
Patricia,24,Cairo,60000,adult
Barbara,78,Toronto,45000,senior
David,30,Mumbai,20000,adult
Susan,35,Sydney,115000,adult
Sarah,16,Moscow,150000,young
Linda,62,Moscow,130000,adult
William,27,Moscow,65000,adult
William,91,Rio de Janeiro,180000,senior
Jessica,73,Paris,95000,senior
Karen,89,Moscow,190000,senior
Thomas,74,Cape Town,185000,senior
Joseph,17,Rio de Janeiro,35000,young
Michael,31,New York,135000,adult
Susan,79,Moscow,140000,senior
Sarah,6,Tokyo,165000,young
Karen,57,Paris,160000,adult
Jessica,57,Toronto,120000,adult
Christopher,47,Moscow,55000,adult
Jennifer,98,Paris,45000,senior
Christopher,60,Moscow,35000,adult
Karen,18,Paris,65000,young
Susan,61,Cairo,195000,adult
William,40,Mumbai,130000,adult
Elizabeth,94,Cairo,120000,senior
Barbara,1,Mumbai,130000,young
Linda,21,Paris,115000,adult
Michael,95,Sydney,60000,senior
Jennifer,78,Toronto,170000,senior
Sarah,74,Moscow,180000,senior
Elizabeth,31,Paris,170000,adult
Robert,19,Mumbai,125000,adult
Michael,34,Sydney,20000,adult
Richard,16,Cape Town,60000,young
Michael,37,Tokyo,175000,adult
Joseph,36,New York,50000,adult
Jennifer,2,New York,65000,young
Thomas,27,Cairo,160000,adult
David,48,Moscow,100000,adult
Joseph,74,Cape Town,190000,senior
Karen,60,Cairo,135000,adult
Christopher,54,Tokyo,135000,adult
William,12,Sydney,120000,young
Robert,92,Paris,200000,senior
Karen,25,Cape Town,140000,adult
Linda,31,Mumbai,85000,adult
Jessica,84,New York,55000,senior
Barbara,18,Sydney,90000,young
Elizabeth,53,Moscow,40000,adult
Richard,3,Mumbai,110000,young
Christopher,94,Rio de Janeiro,85000,senior
Michael,83,Mumbai,75000,senior
Elizabeth,10,Cape Town,25000,young
James,3,Sydney,90000,young
Jennifer,15,Cape Town,55000,young
Susan,82,Sydney,30000,senior
Barbara,34,Cairo,190000,adult
John,4,Toronto,130000,young
Jessica,31,New York,60000,adult
Sarah,72,Cairo,75000,senior
Christopher,93,Cairo,190000,senior
Thomas,60,New York,115000,adult
Richard,92,Paris,25000,senior
James,59,Cape Town,130000,adult
Thomas,56,New York,100000,adult
Susan,80,Tokyo,50000,senior
Susan,2,Paris,30000,young
Elizabeth,14,New York,55000,young
Patricia,19,Sydney,25000,adult
Barbara,90,Rio de Janeiro,180000,senior
Jennifer,85,Tokyo,100000,senior
Jennifer,93,Paris,120000,senior
Barbara,20,Cape Town,55000,adult
Mary,2,Sydney,30000,young
Thomas,24,Rio de Janeiro,130000,adult
Mary,58,Rio de Janeiro,70000,adult
Susan,40,Sydney,100000,adult
Thomas,24,Mumbai,115000,adult
Linda,88,Cairo,90000,senior
Robert,86,Toronto,80000,senior
James,92,Mumbai,190000,senior
David,24,Tokyo,50000,adult
Richard,83,Paris,175000,senior
David,49,Paris,110000,adult
Thomas,37,Rio de Janeiro,120000,adult
Michael,52,Cairo,25000,adult
Barbara,6,Sydney,150000,young
Barbara,32,Mumbai,105000,adult
Linda,28,Toronto,55000,adult
Christopher,99,New York,135000,senior
Sarah,19,Tokyo,55000,adult
Robert,68,Moscow,85000,senior
Barbara,23,Sydney,150000,adult
Linda,79,New York,80000,senior
David,34,New York,50000,adult
William,82,Sydney,25000,senior
Susan,60,Mumbai,110000,adult
Patricia,82,Paris,70000,senior
Susan,75,Paris,75000,senior
William,91,Cairo,140000,senior
David,79,Cairo,140000,senior
Patricia,94,Paris,70000,senior
Jessica,7,Cape Town,80000,young
Mary,31,Sydney,70000,adult
Christopher,18,Rio de Janeiro,100000,young
Jennifer,55,Paris,75000,adult
Sarah,94,Cape Town,110000,senior
Michael,72,Tokyo,120000,senior
Jennifer,60,Cairo,110000,adult
Jennifer,11,Rio de Janeiro,140000,young
David,24,Sydney,100000,adult
Robert,26,Sydney,160000,adult
Elizabeth,3,Sydney,85000,young
Karen,9,Tokyo,135000,young
Patricia,37,Moscow,40000,adult
Sarah,19,New York,130000,adult
Christopher,4,Paris,30000,young
Patricia,93,Cape Town,100000,senior
Sarah,49,New York,180000,adult
David,68,New York,65000,senior
Thomas,24,Paris,95000,adult
Michael,36,Rio de Janeiro,120000,adult
Robert,14,Sydney,35000,young
Linda,62,Moscow,55000,adult
David,30,Tokyo,20000,adult
Susan,42,Toronto,25000,adult
Sarah,98,Moscow,55000,senior
Mary,69,Cape Town,195000,senior
Thomas,67,Toronto,130000,senior
Joseph,87,Cairo,80000,senior
Linda,4,Tokyo,50000,young
Robert,69,Rio de Janeiro,80000,senior
James,27,New York,20000,adult
Robert,18,Moscow,30000,young
Christopher,25,Cairo,165000,adult
Robert,65,Toronto,60000,adult
David,90,Sydney,50000,senior
Mary,40,Rio de Janeiro,115000,adult
Jennifer,74,Toronto,95000,senior
Robert,42,Mumbai,200000,adult
Robert,45,Tokyo,65000,adult
Barbara,71,Sydney,20000,senior
Christopher,63,New York,175000,adult
William,88,Cape Town,90000,senior
Robert,49,Paris,120000,adult
James,97,Sydney,170000,senior
Barbara,34,Paris,120000,adult
Barbara,88,Cape Town,105000,senior
Karen,24,Cape Town,195000,adult
David,95,Tokyo,115000,senior
Barbara,81,Moscow,65000,senior
William,4,Rio de Janeiro,150000,young
Linda,8,Moscow,125000,young
Christopher,88,Toronto,105000,senior
Robert,67,Cape Town,150000,senior
Patricia,10,New York,45000,young
William,42,Rio de Janeiro,110000,adult
Richard,54,Tokyo,195000,adult
Barbara,96,Toronto,90000,senior
Richard,47,Moscow,45000,adult
Joseph,39,Mumbai,160000,adult
Elizabeth,4,Rio de Janeiro,115000,young
Karen,55,Moscow,75000,adult
Susan,6,Mumbai,175000,young
Linda,93,Cape Town,115000,senior
Michael,99,Cape Town,30000,senior
Mary,83,Rio de Janeiro,90000,senior
Robert,77,Moscow,145000,senior
Patricia,69,Moscow,120000,senior
Linda,8,Tokyo,25000,young
Karen,77,Cape Town,35000,senior
Barbara,75,Moscow,155000,senior
James,14,Paris,50000,young
Jessica,88,Cairo,80000,senior
James,93,Sydney,30000,senior
John,67,Mumbai,130000,senior
Elizabeth,56,Moscow,150000,adult
Michael,52,Rio de Janeiro,70000,adult
James,76,Cape Town,140000,senior
David,65,Cairo,185000,adult
Thomas,38,Cairo,100000,adult
Thomas,85,Rio de Janeiro,40000,senior
David,61,Mumbai,85000,adult
Barbara,65,Mumbai,30000,adult
David,50,Mumbai,30000,adult
Susan,85,New York,55000,senior
Elizabeth,89,Cape Town,170000,senior
Michael,29,Cairo,120000,adult
William,18,Toronto,30000,young
William,30,New York,80000,adult
Karen,88,Tokyo,30000,senior
Patricia,50,Moscow,60000,adult
Jessica,1,Toronto,35000,young
Barbara,64,Sydney,50000,adult
Jessica,70,Toronto,85000,senior
Barbara,5,Sydney,110000,young
Joseph,21,New York,150000,adult
Jessica,11,Cairo,190000,young
Jennifer,17,Mumbai,145000,young
Patricia,22,Rio de Janeiro,20000,adult
Richard,29,Toronto,65000,adult
Thomas,66,New York,125000,senior
Jessica,97,Rio de Janeiro,170000,senior
John,32,Rio de Janeiro,45000,adult
William,18,Toronto,80000,young
Mary,63,Rio de Janeiro,145000,adult
Linda,17,Sydney,30000,young
Christopher,90,Mumbai,90000,senior
Susan,16,Tokyo,55000,young
